epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,223.323,1.29529,1.83512,1.1003,0.01,1,0.50126,0.19928,1.89842,3.64981,1.46734,0.000252304,0.000252304,0.000252304
28,231.5,1.43847,2.33038,1.14853,0.01,1,0.50126,0.19928,1.89842,3.64981,1.46734,0.000251316,0.000251316,0.000251316
29,239.671,1.29702,1.97343,1.14117,0.01,1,0.5014,0.17788,1.85603,3.63915,1.4131,0.000249536,0.000249536,0.000249536
30,247.75,0.93469,1.60708,0.98874,0.01,1,0.5014,0.17788,1.85603,3.63915,1.4131,0.000246964,0.000246964,0.000246964
31,255.867,1.70553,2.40949,1.27012,0.01,1,0.50147,0.22735,1.7805,3.57639,1.33769,0.0002436,0.0002436,0.0002436
32,263.967,1.13972,1.71824,1.07247,0.01,1,0.50147,0.22735,1.7805,3.57639,1.33769,0.000239444,0.000239444,0.000239444
33,272.007,1.17041,2.08507,1.06484,0.01,1,0.50147,0.22735,1.7805,3.57639,1.33769,0.000234496,0.000234496,0.000234496
34,280.091,1.09833,1.68309,0.99904,0.01,1,0.66928,0.26099,1.74103,3.49917,1.28099,0.000228756,0.000228756,0.000228756
35,288.22,1.14742,1.84655,1.06196,0.01,1,0.66928,0.26099,1.74103,3.49917,1.28099,0.000222224,0.000222224,0.000222224
36,296.289,1.05365,1.65452,1.02579,0.01,1,0.66928,0.26099,1.74103,3.49917,1.28099,0.0002149,0.0002149,0.0002149
37,304.476,1.26899,1.71723,1.11495,0.01,1,0.6693,0.29455,1.69451,3.45028,1.25574,0.000206784,0.000206784,0.000206784
38,312.719,0.95995,1.67261,1.00274,0.01,1,0.6693,0.29455,1.69451,3.45028,1.25574,0.000197876,0.000197876,0.000197876
39,320.942,0.96015,1.47131,0.97788,0.01,1,0.6693,0.29455,1.69451,3.45028,1.25574,0.000188176,0.000188176,0.000188176
40,329.077,1.09782,1.49189,1.00693,0.01,1,0.66918,0.29151,1.70227,3.40049,1.22357,0.000177684,0.000177684,0.000177684
41,337.067,0.9628,2.06548,0.99718,0.01,1,0.66918,0.29151,1.70227,3.40049,1.22357,0.0001664,0.0001664,0.0001664
42,345.072,0.77312,1.66,0.94545,0.01,1,0.66918,0.29151,1.70227,3.40049,1.22357,0.000154324,0.000154324,0.000154324
43,353.148,0.83464,1.84443,1.01644,0.01,1,0.66925,0.27683,1.71632,3.34112,1.23722,0.000141456,0.000141456,0.000141456
44,361.117,0.87568,1.7664,0.97896,0.01,1,0.66925,0.27683,1.71632,3.34112,1.23722,0.000127796,0.000127796,0.000127796
45,369.247,0.86968,1.70052,0.91142,0.01,1,0.66925,0.27683,1.71632,3.34112,1.23722,0.000113344,0.000113344,0.000113344
46,377.301,0.95001,1.73916,0.99276,0.01,1,0.6693,0.26418,1.7264,3.30059,1.25472,9.81e-05,9.81e-05,9.81e-05
47,385.402,0.8377,1.61888,0.94702,0.01,1,0.6693,0.26418,1.7264,3.30059,1.25472,8.2064e-05,8.2064e-05,8.2064e-05
48,393.404,0.81884,1.65697,0.92822,0.01,1,0.6693,0.26418,1.7264,3.30059,1.25472,6.5236e-05,6.5236e-05,6.5236e-05
49,401.451,0.83751,1.66536,0.94903,0.01,1,0.66915,0.27658,1.70248,3.29128,1.25208,4.7616e-05,4.7616e-05,4.7616e-05
50,409.462,0.9291,1.91703,0.97458,0.01,1,0.66915,0.27658,1.70248,3.29128,1.25208,2.9204e-05,2.9204e-05,2.9204e-05
