epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.54004,3.01897,4.4259,2.39722,0,0,0,0,3.10449,4.64811,2.34996,0,0,0
2,10.0497,3.21034,4.43971,2.3361,0,0,0,0,3.07741,4.58748,2.3194,1.9604e-05,1.9604e-05,1.9604e-05
3,14.2346,3.0333,4.53264,2.26963,0,0,0,0,3.03551,4.477,2.27533,3.8416e-05,3.8416e-05,3.8416e-05
4,18.3144,3.46441,4.32895,2.40987,0,0,0,0,2.93518,4.41121,2.20149,5.6436e-05,5.6436e-05,5.6436e-05
5,22.576,3.05554,4.22486,2.30178,0,0,0,0,2.79989,4.3241,2.12806,7.3664e-05,7.3664e-05,7.3664e-05
6,26.6201,2.83831,4.28509,2.13389,0,0,0,0,2.65204,4.26019,2.02687,9.01e-05,9.01e-05,9.01e-05
7,30.7486,2.58114,4.0604,1.97423,0.00167,0.16667,0.00151,0.0003,2.51194,4.158,1.92375,0.000105744,0.000105744,0.000105744
8,34.7062,2.56109,4.11572,1.94292,0.00167,0.16667,0.00154,0.00046,2.34962,4.07154,1.84553,0.000120596,0.000120596,0.000120596
9,38.8535,2.10007,3.79386,1.73574,0.00167,0.16667,0.00152,0.00046,2.26713,4.01934,1.78622,0.000134656,0.000134656,0.000134656
10,42.7826,2.24037,3.65045,1.77363,0.00333,0.33333,0.00434,0.00102,2.22883,3.98724,1.76154,0.000147924,0.000147924,0.000147924
11,46.8302,2.19068,3.59085,1.67813,0.00167,0.16667,0.00153,0.00077,2.24543,3.92534,1.7288,0.0001604,0.0001604,0.0001604
12,50.7612,1.91695,3.39181,1.49543,0.00167,0.16667,0.00153,0.00077,2.24543,3.92534,1.7288,0.000172084,0.000172084,0.000172084
13,54.6398,2.28192,3.35666,1.60484,0.005,0.5,0.00731,0.00163,2.17889,3.86777,1.69245,0.000182976,0.000182976,0.000182976
14,58.6349,2.33049,3.08258,1.58155,0.005,0.5,0.00731,0.00163,2.17889,3.86777,1.69245,0.000193076,0.000193076,0.000193076
15,62.7031,1.91691,3.21035,1.4416,0.00833,0.83333,0.01907,0.0042,2.1228,3.8119,1.6359,0.000202384,0.000202384,0.000202384
16,66.6217,2.11867,2.77027,1.51838,0.00833,0.83333,0.01907,0.0042,2.1228,3.8119,1.6359,0.0002109,0.0002109,0.0002109
17,70.5316,2.18335,2.83942,1.57934,0.00667,0.66667,0.01344,0.00579,1.99988,3.70402,1.54481,0.000218624,0.000218624,0.000218624
18,74.4628,2.0883,2.56548,1.49284,0.00667,0.66667,0.01344,0.00579,1.99988,3.70402,1.54481,0.000225556,0.000225556,0.000225556
19,78.5715,1.87666,2.62151,1.40296,0.00833,0.83333,0.0194,0.00589,1.87942,3.64978,1.46106,0.000231696,0.000231696,0.000231696
