epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,82.5763,1.87694,2.32243,1.40396,0.00833,0.83333,0.0194,0.00589,1.87942,3.64978,1.46106,0.000237044,0.000237044,0.000237044
21,86.5924,1.9259,2.16288,1.40905,0.00833,0.83333,0.01852,0.00831,1.81569,3.48577,1.37081,0.0002416,0.0002416,0.0002416
22,90.5237,2.12033,2.25031,1.47329,0.00833,0.83333,0.01852,0.00831,1.81569,3.48577,1.37081,0.000245364,0.000245364,0.000245364
23,94.6601,1.8706,2.21509,1.33421,0.00833,0.83333,0.2343,0.09916,1.89826,3.40313,1.4465,0.000248336,0.000248336,0.000248336
24,98.6601,1.89457,2.07985,1.36977,0.00833,0.83333,0.2343,0.09916,1.89826,3.40313,1.4465,0.000250516,0.000250516,0.000250516
25,102.72,1.67053,2.00916,1.30812,0.01,1,0.11077,0.03883,1.95602,3.3669,1.49315,0.000251904,0.000251904,0.000251904
26,106.57,1.75134,2.0462,1.3296,0.01,1,0.11077,0.03883,1.95602,3.3669,1.49315,0.0002525,0.0002525,0.0002525
27,110.522,1.7754,2.06574,1.30636,0.01,1,0.09875,0.03527,1.93986,3.32916,1.47537,0.000252304,0.000252304,0.000252304
28,114.498,1.90149,2.58904,1.33126,0.01,1,0.09875,0.03527,1.93986,3.32916,1.47537,0.000251316,0.000251316,0.000251316
29,118.411,1.57657,1.87489,1.21591,0.01,1,0.0269,0.00975,1.89373,3.38305,1.46868,0.000249536,0.000249536,0.000249536
30,122.289,1.29725,1.81085,1.12558,0.01,1,0.0269,0.00975,1.89373,3.38305,1.46868,0.000246964,0.000246964,0.000246964
31,126.239,1.94162,2.40387,1.31823,0.01,1,0.02147,0.00752,1.81449,3.39143,1.41631,0.0002436,0.0002436,0.0002436
32,130.138,1.58435,1.81116,1.21082,0.01,1,0.02147,0.00752,1.81449,3.39143,1.41631,0.000239444,0.000239444,0.000239444
33,134.053,1.4649,2.30448,1.22701,0.01,1,0.02147,0.00752,1.81449,3.39143,1.41631,0.000234496,0.000234496,0.000234496
34,137.94,1.40602,1.79179,1.13597,0.01,1,0.02132,0.00701,1.71197,3.4717,1.38205,0.000228756,0.000228756,0.000228756
35,141.805,1.56452,2.02611,1.21269,0.01,1,0.02132,0.00701,1.71197,3.4717,1.38205,0.000222224,0.000222224,0.000222224
36,145.717,1.40879,1.90886,1.1423,0.01,1,0.02132,0.00701,1.71197,3.4717,1.38205,0.0002149,0.0002149,0.0002149
37,149.667,1.68506,1.77629,1.20546,0.01,1,0.02073,0.00458,1.69474,3.44586,1.39661,0.000206784,0.000206784,0.000206784
38,153.532,1.48061,1.90555,1.17947,0.01,1,0.02073,0.00458,1.69474,3.44586,1.39661,0.000197876,0.000197876,0.000197876
39,157.417,1.43536,1.81293,1.16462,0.01,1,0.02073,0.00458,1.69474,3.44586,1.39661,0.000188176,0.000188176,0.000188176
40,161.313,1.49869,1.74466,1.17467,0.00833,0.83333,0.04,0.0152,1.87714,3.43297,1.47914,0.000177684,0.000177684,0.000177684
41,165.196,1.47088,1.97945,1.16972,0.00833,0.83333,0.04,0.0152,1.87714,3.43297,1.47914,0.0001664,0.0001664,0.0001664
42,169.05,1.06305,1.6485,1.00535,0.00833,0.83333,0.04,0.0152,1.87714,3.43297,1.47914,0.000154324,0.000154324,0.000154324
43,173.023,1.18925,1.59827,1.05848,0.00833,0.83333,0.08762,0.03239,1.98212,3.36974,1.54493,0.000141456,0.000141456,0.000141456
44,176.923,1.22656,1.5946,1.0422,0.00833,0.83333,0.08762,0.03239,1.98212,3.36974,1.54493,0.000127796,0.000127796,0.000127796
45,180.881,1.17436,1.73927,1.05826,0.00833,0.83333,0.08762,0.03239,1.98212,3.36974,1.54493,0.000113344,0.000113344,0.000113344
46,184.786,1.24337,1.76588,1.0511,0.00667,0.66667,0.12847,0.04964,1.95997,3.34942,1.50987,9.81e-05,9.81e-05,9.81e-05
47,188.622,1.15855,1.60076,1.05525,0.00667,0.66667,0.12847,0.04964,1.95997,3.34942,1.50987,8.2064e-05,8.2064e-05,8.2064e-05
48,192.419,1.2901,1.62318,1.11039,0.00667,0.66667,0.12847,0.04964,1.95997,3.34942,1.50987,6.5236e-05,6.5236e-05,6.5236e-05
49,196.452,1.09175,1.45123,1.05611,0.00833,0.83333,0.16456,0.06501,1.92921,3.27735,1.46112,4.7616e-05,4.7616e-05,4.7616e-05
50,200.317,1.32615,1.71409,1.04747,0.00833,0.83333,0.16456,0.06501,1.92921,3.27735,1.46112,2.9204e-05,2.9204e-05,2.9204e-05
